"
$",name,.,module,;,begin,end,const,"""",=,var,:,",",integer,real,char,procedure,:=,(,),+,-,*,/,mod,div,readint,readreal,readchar,readln,writeint,writereal,writechar,writeln,if,then,else,while,do,loop,until,exit,call,|=,<,<=,>,>=,integer-value,real-value
module-decl,,,module-decl ::= module-heading declarations block name . ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module-heading,,,module-heading ::= module name ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block,,,,,block ::= begin stmt-list end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
declarations,,,,,declarations ::= const-decl var-decl procedure-decl ,,declarations ::= const-decl var-decl procedure-decl ,,,declarations ::= const-decl var-decl procedure-decl ,,,,,,declarations ::= const-decl var-decl procedure-decl ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
const-decl,,,,,"const-decl ::= "" ",,const-decl ::= const const-list,,,"const-decl ::= "" ",,,,,,"const-decl ::= "" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
const-list,const-list ::= name = value ; const-list ,,,,"const-list ::= "" ",,,,,"const-list ::= "" ",,,,,,"const-list ::= "" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var-decl,,,,,"var-decl ::= """,,,,,var-decl ::= var var-list ,,,,,,"var-decl ::= """,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var-list,var-list ::= var-item ; var-list,,,,"var-list ::= """,,,,,,,,,,,"var-list ::= """,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var-item,var-item ::= name-list : data-type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name-list,name-list ::= name more-names ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
more-names,,,,,,,,,,,"more-names ::= "" ","more-names ::= , name-list ",,,,,,,"more-names ::= "" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data-type,,,,,,,,,,,,,data-type ::= integer,data-type ::= real ,data-type ::= char,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
procedure-decl,,,,,"procedure-decl ::= "" ",,,,,,,,,,,procedure-decl ::= procedure-heading declarations block name ; procedure-decl ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
procedure-heading,,,,,,,,,,,,,,,,procedure-heading ::= procedure name ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
